sample_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_beam_label,tx0_codebook_label,tx0_effective_angle_deg,tx1_beam_label,tx1_codebook_label,tx1_effective_angle_deg,independent_u1_beam,independent_u1_codebook,independent_u2_beam,independent_u2_codebook,u1_sinr_db,u2_sinr_db,u1_rate_bpshz,u2_rate_bpshz,sum_rate_bpshz,joint_score
30,8.104835074292799,2.5372403302468514,1.5,8.492699221974007,17.382868977289846,3.297578993031224,23.169187278504587,5.7112967213457,-3.846839263153741,1.5,6.88600628490821,-33.962205190661294,1.158745673836,24.9907557316846,51.34507416795114,1,-76.830810546875,28.328598022460938,0.0,1,-75.00924682617188,22.9692440032959,0.0,5,14,21.82258064516129,1,13,-38.62903225806451,5,4,1,23,22.1938710705872,23.626597323050007,7.381323598934522,7.854831346914295,15.236154945848817,15.236154945848817
31,5.339302699690059,6.501978162149275,1.5,8.413315240734986,50.607800872879366,2.354640333520874,23.2507596950974,5.745116942991291,-6.708139623329241,1.5,8.832072570734763,-49.42193894373327,2.272012791449129,22.82885078558091,100.02973981661263,1,-76.74923706054688,28.063800811767578,0.0,1,-77.17115020751953,29.460620880126953,0.0,7,11,50.46774193548387,0,22,-49.564516129032256,7,11,0,22,22.417778922959354,22.066596913015722,7.455269289001401,7.3393013575472645,14.794570646548665,14.794570646548665
32,2.8164304345199143,0.6984203869570478,1.5,2.90173593378296,13.927300126093314,4.4512369396749385,32.496946226033856,7.84947893960845,-2.9333381396825966,1.5,8.379665402930666,-20.490638079753175,4.188507651384519,23.285570031705227,34.41793820584649,1,-67.5030517578125,9.67914867401123,0.0,1,-76.71443176269531,27.951555252075195,0.0,6,7,33.66129032258065,1,6,-41.79032258064516,4,30,2,20,24.851530219665182,18.30521815267981,8.260212800940948,6.102019344569428,14.362232145510376,14.362232145510376
33,2.6436630877916,1.48686331343303,1.5,3.0331035317945982,29.354507241197084,3.2945647179940925,32.11235730843809,7.573315884576569,-4.974533847718111,1.5,9.060965759215346,-33.29891731850788,3.5549998640884115,22.606612339791678,62.653424559704966,1,-67.88764190673828,10.117344856262207,0.0,1,-77.39338684082031,30.2241268157959,0.0,5,31,29.5,1,25,-33.20967741935484,5,31,1,25,27.918528784539358,21.879465615955162,9.276662450733362,7.277529895568328,16.55419234630169,16.55419234630169
34,4.910677386591009,-4.81106963525229,1.5,6.874674059940799,-44.41297546091522,4.295541956008057,25.005060486483302,7.056864208889428,1.8270029472869163,1.5,7.2895316881195935,14.515019714747055,4.214050796521313,24.496110980836576,58.927995175662275,1,-74.99494171142578,22.93144416809082,0.0,1,-75.50389099121094,24.31525993347168,0.0,1,0,-44.5,4,31,14.5,1,0,4,31,23.810473556362822,23.41863155791092,7.915655332668694,7.786052273282289,15.701707605950983,15.701707605950983
35,4.204101686114438,1.9092956786978028,1.5,4.617345663461245,24.42520662192092,1.646049307787997,28.462255904549924,6.513067380595749,6.121367652802251,1.5,8.938187100578848,43.22425340098685,1.1068094003451385,22.72511348846615,18.799046779065932,1,-71.5377426147461,15.401806831359863,0.0,1,-77.27488708496094,29.8145809173584,0.0,3,19,-5.919354838709678,7,31,59.5,5,20,6,28,2.697423570804511,17.268810015891052,1.516510819710238,5.763381773770556,7.279892593480794,7.24633215369385
36,6.152022085657399,-3.7530898557823864,1.5,7.206459547377829,-31.385609998186034,2.517278497010271,24.595664695861018,4.276860592427114,4.907582750847768,1.5,6.509677794136554,48.9284982787525,2.011098201537227,25.478914065321177,80.31410827693853,1,-75.40433502197266,24.038162231445312,0.0,1,-74.52108764648438,21.71394920349121,0.0,1,29,-31.403225806451616,7,8,49.11290322580645,1,29,7,8,23.496114514255314,24.165361673144837,7.811675966932828,8.03307771457845,15.844753681511278,15.844753681511278
37,5.396477772302239,1.680488172426021,1.5,5.652080399694955,17.296830459780693,1.5348847553540907,26.705937317411447,2.735298726295341,-0.6383196163035539,1.5,2.80879174283727,-13.135676014940302,3.6497848864570153,32.779713850539565,30.432506474720995,1,-73.29405975341797,18.853309631347656,0.0,1,-67.22029113769531,9.369120597839355,0.0,6,27,42.693548387096776,1,14,-38.17741935483871,5,4,3,3,19.60602649099205,23.016220403638012,6.528692065196862,7.653008643007977,14.18170070820484,14.18170070820484
38,8.403948405300797,-2.0247599363347875,1.5,8.644420258105471,-13.546084045033929,1.8602311185523743,23.015385129402567,4.959480962351735,0.37703008512758585,1.5,4.973791622195346,4.347382484217796,1.9896383664670836,27.816351861549396,17.893466529251725,1,-76.984619140625,28.83468246459961,1.7763568394002505e-06,1,-72.18364715576172,16.59078025817871,0.0,0,20,-50.46774193548387,6,9,34.564516129032256,3,2,4,9,7.2479946776848,17.627912288416702,2.656815235881536,5.8805636409101245,8.53737887679166,8.53737887679166
39,4.623331143700224,-0.37874007323313463,1.5,4.638818266259313,-4.683173204796084,3.316218297717017,28.42195637112558,2.3461198293752052,1.2369966584899463,1.5,2.6522516824205873,27.800535000370616,2.198775491562005,33.27780782302069,32.4837082051667,1,-71.57804870605469,15.473432540893555,0.0,1,-66.7221908569336,8.846960067749023,0.0,2,3,-28.14516129032258,7,12,50.91935483870968,3,22,5,27,21.53235361486455,23.963560368505274,7.162995283841991,7.966302715086361,15.129297998928351,15.129297998928351
40,2.292939352666,1.2683775371570687,1.5,2.6203725788080225,28.949904654162935,1.5227369832291067,33.38284239955789,2.323467446876181,-1.9737415037444546,1.5,3.0486319063305656,-40.347269341535394,1.3250492444639619,32.06800429016467,69.29717399569833,1,-66.61715698242188,8.740622520446777,0.0,1,-67.93199157714844,10.16914176940918,0.0,5,30,29.048387096774192,1,9,-40.435483870967744,5,30,1,9,28.359674999057248,27.90169441801033,9.42298336186108,9.271079229093091,18.69406259095417,18.69406259095417
41,8.358048498382171,-3.965677328663495,1.5,9.251138923202056,-25.383127035927046,3.4796938388472056,22.426200156059892,3.5732274896680796,2.6544265288179347,1.5,4.451284633654882,36.60737410022743,1.7485735461628753,28.780396246376057,61.99050113615448,1,-77.57379913330078,30.858476638793945,0.0,1,-71.2196044921875,14.84788703918457,0.0,2,9,-25.435483870967744,6,14,36.82258064516129,2,9,6,14,21.726422078573073,26.336858712710033,7.227023416819828,8.752264623071872,15.9792880398917,15.9792880398917
42,4.056481430681129,3.682254829296139,1.5,5.478507299012711,42.23147111943614,1.3872308353458722,26.976859122652304,4.5985310660592855,1.970645160581559,1.5,5.00299213615571,23.1969708516187,3.9092991069541756,27.765506942633134,19.034500267817435,1,-73.02313995361328,18.27433204650879,0.0,1,-72.23448944091797,16.68818473815918,0.0,7,31,59.5,4,27,12.693548387096774,6,26,5,17,4.8061080400151805,10.270076295643712,2.0087027441919405,3.541219570896025,5.549922315087965,5.278957225358399
43,6.657403605808796,4.807540176452749,1.5,8.211788192521972,35.834345987234585,1.2568480006644145,23.461348960057492,7.167084535089749,-1.8161325373024362,1.5,7.39360792348169,-14.219392569112223,3.0751049362411798,24.372975368997245,50.05373855634681,1,-76.53865051269531,27.391578674316406,0.0,1,-75.62702941894531,24.66242218017578,0.0,6,25,41.79032258064516,2,21,-20.016129032258064,6,12,3,1,22.308948015052145,23.055077630414424,7.4193250391441055,7.665852886667553,15.085177925811658,15.085177925811658
44,6.681163495502566,-4.507824749953419,1.5,8.059679251057617,-34.00779761613551,3.993326251591677,23.623748810915636,4.119971867663018,0.28616036533875966,1.5,4.129897812903549,3.9732046617309393,4.586346923036718,29.43131813298322,37.98100227786645,1,-76.37625122070312,26.88419532775879,1.7763568394002505e-06,1,-70.56867980957031,13.77585506439209,0.0,0,17,-51.82258064516129,5,13,21.370967741935484,1,23,4,8,20.05728636271812,24.255627195471646,6.677054408604722,8.062949972963194,14.740004381567916,14.740004381567916
45,2.470404600898082,-1.7125212815582562,1.5,3.0059321402733534,-34.73027658468538,3.8838911672399097,32.190520573848694,8.075169725360853,2.299873166610196,1.5,8.396295771105143,15.897378532582223,4.987084660125255,23.26834876960849,50.6276551172676,1,-67.80947875976562,10.026710510253906,0.0,1,-76.73165130615234,28.00702667236328,0.0,1,10,-39.983870967741936,5,13,21.370967741935484,1,22,5,1,27.728903460122254,22.194274169131457,9.213774089996237,7.381456702250273,16.59523079224651,16.59523079224651
46,7.523929984612694,5.822028163138421,1.5,9.513439669527049,37.73275735257448,3.5649164424392605,22.183351200407042,8.050597276195683,-1.6449207123010203,1.5,8.216926472425456,-11.547886327291941,1.7377825697863156,23.45591584545977,49.28064367986642,1,-77.816650390625,31.733421325683594,0.0,1,-76.54408264160156,27.408716201782227,0.0,6,30,44.04838709677419,2,25,-18.20967741935484,6,16,3,7,21.20163290291928,22.187521621017897,7.053928577264581,7.379227017688103,14.433155594952684,14.433155594952684
47,7.107621740753227,3.834419645534018,1.5,8.075955722246448,28.345973097022764,2.5127213151632843,23.606223699501953,7.726766543046498,-0.8219488300125496,1.5,7.770361709077752,-6.07210731305431,2.6790837294797654,23.941277686125883,34.418080410077074,1,-76.3937759399414,26.938488006591797,0.0,1,-76.05872344970703,25.919137954711914,0.0,7,7,48.66129032258065,2,8,-25.887096774193548,5,28,3,19,18.908847434075643,19.48894748543365,6.29981262691091,6.490226174970165,12.790038801881074,12.790038801881074
48,1.7892300622162458,1.3916348667236427,1.5,2.2667138808899727,37.875212805264226,3.1921150730641554,34.64216838640226,6.191727503172535,-1.358275373129934,1.5,6.338959020438171,-12.372949709809554,3.886560874078649,25.70974323962102,50.24816251507378,1,-65.35783386230469,7.560943126678467,0.0,1,-74.29025268554688,21.14449119567871,0.0,6,29,43.596774193548384,2,25,-18.20967741935484,6,16,3,5,28.457709299844332,24.064149063018696,9.455502739853694,7.999585474167041,17.455088214020734,17.455088214020734
49,4.067615779250785,2.995670703798768,1.5,5.051686955187166,36.37047407531911,1.5512646173997244,27.681374498321706,9.138074480485939,-2.0062013766335687,1.5,9.355706770443096,-12.38244729582911,4.041493183960728,22.328570353312035,48.75292137114822,1,-72.3186264038086,16.850614547729492,0.0,1,-77.67142486572266,31.207279205322266,0.0,6,29,43.596774193548384,2,22,-19.564516129032256,6,13,3,5,25.26185493275505,21.232688507486166,8.396095437583876,7.064167660549022,15.460263098132899,15.460263098132899
